"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 16:44:21 GMT 2025","Fri Jan 31 16:44:21 GMT 2025","22","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Fri Jan 31 16:44:14 GMT 2025","Fri Jan 31 16:44:21 GMT 2025","7140","","org.allure.junit5_github_actions.SelenideTest","","org.allure.junit5_github_actions.SelenideTest","testMainPage","testMainPage()",""
"passed","Fri Jan 31 16:44:21 GMT 2025","Fri Jan 31 16:44:21 GMT 2025","3","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","lambdaStepTest","lambdaStepTest()",""
