"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 14:12:49 GMT 2025","Fri Jan 31 14:12:49 GMT 2025","17","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","annotatedStepTest","annotatedStepTest()",""
"broken","Fri Jan 31 14:12:47 GMT 2025","Fri Jan 31 14:12:48 GMT 2025","1116","","org.allure.junit5_github_actions.SelenideTest","","org.allure.junit5_github_actions.SelenideTest","testMainPage","testMainPage()",""
"passed","Fri Jan 31 14:12:49 GMT 2025","Fri Jan 31 14:12:49 GMT 2025","3","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","lambdaStepTest","lambdaStepTest()",""
