"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 23 11:19:43 GMT 2024","Wed Oct 23 11:19:45 GMT 2024","1159","","org.allure.junit5_github_actions.SelenideTest","","org.allure.junit5_github_actions.SelenideTest","testMainPage","testMainPage()",""
"passed","Wed Oct 23 11:19:45 GMT 2024","Wed Oct 23 11:19:45 GMT 2024","3","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Wed Oct 23 11:19:45 GMT 2024","Wed Oct 23 11:19:45 GMT 2024","17","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","annotatedStepTest","annotatedStepTest()",""
