"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 11:11:58 GMT 2024","Wed Oct 23 11:11:58 GMT 2024","5","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Wed Oct 23 11:11:58 GMT 2024","Wed Oct 23 11:11:58 GMT 2024","27","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","annotatedStepTest","annotatedStepTest()",""
"broken","Wed Oct 23 11:11:53 GMT 2024","Wed Oct 23 11:11:58 GMT 2024","5108","","org.allure.junit5_github_actions.SelenideTest","","org.allure.junit5_github_actions.SelenideTest","testMainPage","testMainPage()",""
