"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 15:30:16 GMT 2025","Fri Jan 31 15:30:16 GMT 2025","17","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","annotatedStepTest","annotatedStepTest()",""
"broken","Fri Jan 31 15:30:13 GMT 2025","Fri Jan 31 15:30:15 GMT 2025","2063","","org.allure.junit5_github_actions.SelenideTest","","org.allure.junit5_github_actions.SelenideTest","testMainPage","testMainPage()",""
"passed","Fri Jan 31 15:30:16 GMT 2025","Fri Jan 31 15:30:16 GMT 2025","4","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","lambdaStepTest","lambdaStepTest()",""
